Summary,Priority,Created,Resolved,Custom field (Category),Time took to resolve (Days)
"Even after 30 minutes or more has passed while the survey detail screen is still being edited, changes can be saved and reflected/編集中のアンケート詳細画面のまま30分以上経っても、変更内容の保存・反映操作ができる",Critical,2025-04-19 16:27:00,2025-06-03 14:42:00,Misunderstanding Issues on ALJ side,45
お問合せーSOxxx画面で入力した情報はSOxxx画面で表示されていない/Contents entered in the enquiry form input screen is not dislayed in Enquiry form confirmation screen,Major,2025-03-28 19:22:00,2025-05-15 14:18:00,Bug,48
The description on the Sales Portal Survey Details screen remains in the R6 section/セールスポータル・アンケート詳細画面の説明文がR6の断面になったままである,Major,2025-04-05 00:05:00,2025-05-23 10:21:00,Bug,48
R6 red text remains in the header of the survey leaflet creation confirmation screen (SHyyy)/アンケートチラシ作成確認画面(SHyyy)のヘッダにR6の赤字文言が残っている,Critical,2025-03-26 12:15:00,2025-05-14 08:08:00,Bug,49
Full-half-width input checks at the Corporate/Organization Information section is not implemented when editing survey detail screen/アンケート詳細画面の編集時の法人・団体情報欄の全角/半角入力チェックが実装されていない,Major,2025-04-09 10:00:00,2025-05-28 09:10:00,Bug,49
"If the total number of respondents changes due to changes in the number of respondents for each department, no notification of survey revisions will be sent/部署毎の各回答予定者数を変えて合計予定者数が変わった場合、アンケート修正の通知が出ない",Major,2025-04-11 20:28:00,2025-05-31 00:50:00,Bug,50
"SHyyy - Error message is incorrect for the survey creation request date is prior to December 14, 2023/アンケート作成依頼日が2023年12月14日以前の場合のエラーメッセージが正しくない",Major,2025-04-23 14:27:00,2025-06-13 18:01:00,Bug,51
"(When editing multiple section at the same time) After changing one section at survey detail screen, pressing either Cancel or Save button resets changes in the other section to original state/(複数欄を同時に編集した場合) アンケート詳細の欄を変更後キャンセル/保存ボタンどちらを押しても、その他の欄の変更内容が戻る",Critical,2025-04-11 21:23:00,2025-06-03 15:51:00,Bug,53
"[Degrade] When the “PubliSHyyyyer” button is pressed, the confirmation popup is not displayed if the survey end date overlaps with compared survey start date/チラシ公開ボタンを押下時、終了日が比較元のアンケート開始日と重複している場合は確認ポップアップが表示されない",Critical,2025-03-27 15:24:00,2025-05-20 17:29:00,Bug,54
Multiple session error does not occur when the survey detail screen is open and an account of another corporation is opened/アンケート詳細画面を開いている状態で、別の法人のアカウントを開いた場合複数セッションエラーとならない。,Major,2025-04-24 16:18:00,2025-06-19 17:57:00,Bug,56
The internal address field and applicant field on the survey details screen are already filled in when the survey was created/アンケート詳細画面の社内宛先欄・申請者がアンケート作成時にすでに値が入っている,Major,2025-04-09 09:23:00,2025-06-05 08:36:00,Bug,57
"EngliSHyyyrvey flyer does not have brackets 『』 in the name of the corporation, while Vietnamese has only open bracket『.  instead/ アンケートチラシ英語版の法人名に括弧『』がない、ベトナム版は『のみある状態になっている",Major,2025-03-28 21:35:00,2025-05-26 19:43:00,Bug,59
'What is health management?' is double underlined only in the Vietnamese version of the flyer/「健康経営って何?」の見出し下線がベトナム版のみ二重になっている,Major,2025-03-28 21:26:00,2025-05-26 19:43:00,Bug,59
Do you want to close your survey request?' is duplicated in the title and at the beginning of the body (SHyyy)/「アンケートの作成依頼を閉じますか？」の文言が表題と本文冒頭で(SHyyy)重複している,Major,2025-03-27 20:03:00,2025-05-26 19:23:00,Bug,60
"Survey flyer output not possible message only displays ""An error has occurred""/アンケートチラシ出力不可のメッセージが「エラーが発生しました」のみ表示",Minor,2025-04-19 17:31:00,2025-06-19 14:19:00,Bug,61
The line spacing on the survey type selection screen (SHyyy) differs from the requirement for two locations/アンケート種類選択画面(SHyyy)の行間が2か所、要件と異なる,Major,2025-03-26 13:08:00,2025-05-26 22:01:00,Bug,61
"In the Chinese version of the survey flyer, the last two characters '写。' in expected completion date column were missing/中国版アンケートチラシにて、完了予定日欄の文言末尾2文字「写。」が抜けていた",Major,2025-03-27 23:44:00,2025-05-28 08:29:00,Bug,62
"When user opens surveys before R6, system allows to save blank fields in branch and perSOxxxsection, even though screen SHyyy all fields are mandatory to be entried/ユーザーが R6 以前のアンケートを開くと、画面上項目が必須であることが表示されるにも関わらず、担当店と取扱者セクションが空欄でも保存できる",Major,2025-04-11 21:13:00,2025-06-12 22:14:00,Bug,62
The wording of the Sales Portal Indicator-Status 1 is different. There is no wording in red under the button/セールスポータルIndicator・ステータス1の文言が異なる。ボタン下の赤字文言もない,Critical,2025-03-27 12:04:00,2025-05-29 23:13:00,New requirement/Change request,63
"In the search results on the survey re-response screen, the link to re-request the survey is broken/アンケート再回答画面の検索結果にて、アンケート再依頼のリンクが切れて表示されている",Major,2025-04-01 22:39:00,2025-06-06 23:36:00,Bug,66
"Multiple emails[MHzzz] and multiple notifications are sent, even though we requested the creation of the feedback SHyyy only once/フィードバックシートの作成依頼を一度だけ行ったにもかかわらず、複数のメール[MHzzz]と通知が送信されます。",Critical,2025-04-24 19:43:00,2025-07-02 23:39:00,Bug,69
"If you create an EngliSHyyympany name with 32 or more characters on the survey request screen, the 32nd character will be cut off on the owner portal details screen/アンケート依頼画面で英語表記会社名を32桁以上で作成すると、オーナポータル詳細画面で見切れる(32桁目)",Major,2025-04-04 23:50:00,2025-06-13 22:21:00,Bug,70
Industry and other input details are displayed in a separate field at the end of the survey detail screen/業種その他の入力内容がアンケート詳細画面の末尾欄別項目に表示される,Major,2025-03-28 17:00:00,2025-06-08 21:37:00,Bug,72
Survey entry screen(SHyyy)_Incomplete wording in tooltip for feedback SHyyy EngliSHyyyme /アンケート入力画面(SHyyy)_フィードバックシート英語表記名のツールチップの文言不備,Minor,2025-04-01 20:54:00,2025-06-18 11:41:00,Bug,78
"In case EngliSHyyympany name is lengthy, it is displayed ahead from other fields at SHyyy (Survey entry confirmation screen)/英文社名が長い場合は、SHyyy（アンケート入力確認画面）で他の項目より前に表示されます",Minor,2025-03-30 21:28:00,2025-06-18 11:48:00,Bug,80
Lead ID is not displayed in the Voice report screen/VoiceReportの認定企業情報詳細ページにリードIDが表示されていない,Minor,2025-03-25 20:03:00,2025-06-24 14:07:00,Bug,91
SOxxx_Mismatch between wording in screen and button name/画面内の文言とボタン名の不一致,Critical,2025-01-10 15:14:00,2025-05-13 11:12:00,New requirement/Change request,123
Menu doesn't respond on a phone screen./スマホ画面だとメニューが反応しない,Critical,2024-11-21 15:45:00,2025-07-04 17:12:00,Bug,225
Screen ID is displayed on tab/[Bug HPM-R4-2R5] タブに画面IDが表示されている (#040),Major,2024-02-20 10:09:00,,New requirement/Change request,#NUM!
Icons other than the operated item are alSOxxxaded/操作対象以外のアイコンもローディングされる,Minor,2024-12-23 10:30:00,,Bug,#NUM!
SHyyy/SHyyy - The '選択' option is selectable in both the Sales Portal - News List and News Creation / 選択」オプションは営業ポータルのニュースリストとニュース作成の両方で選択可能です,Major,2025-05-30 10:37:00,,Omission in Epic validation,#NUM!
"[Sales_Indicator] When creating FB, red message is displayed if 2 or less entries. But after refreSHyyy the detail screen, screen needs to be refreSHyyyagain even if 3 or more entries/FB作成時にアンケート2名以下の場合赤字メッセージが表示されるが、詳細画面をリフレッシュ後3件以上になった場合も再度リフレッシュが必要",Major,2025-06-02 21:52:00,,Bug,#NUM!
